Codes,Category
005,ABRASIVES
010,"ACOUSTICAL TILE, INSULATING MATERIALS, AND SUPPLIES"
015,"ADDRESSING, COPYING, MIMEOGRAPH, AND SPIRIT DUPLICATING MACHINE SUPPLIES: CHEMICALS, INKS, PAPER, ETC."
019,"AGRICULTURAL CROPS AND GRAINS INCLUDING FRUITS, MELONS, NUTS, AND VEGETABLES"
020,"AGRICULTURAL EQUIPMENT, IMPLEMENTS, AND ACCESSORIES (SEE CLASS 022 FOR PARTS)"
022,AGRICULTURAL EQUIPMENT AND IMPLEMENT PARTS
025,AIR COMPRESSORS AND ACCESSORIES
031,"AIR CONDITIONING, HEATING, AND VENTILATING EQUIPMENT, PARTS AND ACCESSORIES (SEE CLASS 740 ALSO)"
035,"AIRCRAFT AND AIRPORT EQUIPMENT, PARTS, AND SUPPLIES"
037,"AMUSEMENT, DECORATIONS, ENTERTAINMENT, GIFTS, TOYS, ETC."
040,"ANIMALS, BIRDS, MARINE LIFE, AND POULTRY, LIVE, (INCLUDING ACCESSORY ITEMS)"
045,"APPLIANCES AND EQUIPMENT, HOUSEHOLD TYPE"
050,ART EQUIPMENT AND SUPPLIES
052,ART OBJECTS
055,"AUTOMOTIVE ACCESSORIES FOR AUTOMOBILES, BUSES, TRAILERS, TRUCKS, ETC."
060,AUTOMOTIVE AND TRAILER EQUIPMENT AND PARTS 
065,"AUTOMOTIVE AND TRAILER BODIES, BODY ACCESSORIES, AND PARTS"
071,"AUTOMOBILES, SCHOOL BUSES, SUVS, AND VANS (INCLUDING DIESEL, GASOLINE, ELECTRIC, HYBRID, AND ALL OTHER FUEL TYPES)"
072,"TRUCKS (INCLUDING, DIESEL, GASOLINE, ELECTRIC, HYBRID, AND ALTERNATIVE FUEL UNITS)"
073,TRAILERS
075,AUTOMOTIVE SHOP AND RELATED EQUIPMENT AND SUPPLIES
080,"BADGES, AWARDS, EMBLEMS, NAME TAGS AND PLATES, JEWELRY, ETC."
085,"BAGS, BAGGING, TIES, AND EROSION SHEETING, ETC."
090,"BAKERY EQUIPMENT, COMMERCIAL"
095,BARBER AND BEAUTY SHOP EQUIPMENT AND SUPPLIES
100,"BARRELS, DRUMS, KEGS, AND CONTAINERS"
105,BEARINGS (SEE CLASS 060 FOR WHEEL BEARINGS)
110,BELTS AND BELTING: AUTOMOTIVE AND INDUSTRIAL
115,"BIOCHEMICALS, RESEARCH"
120,"BOATS, MOTORS, AND MARINE EQUIPMENT"
125,BOOKBINDING SUPPLIES
135,"BRICKS, CLAY, REFRACTORY MATERIALS, STONE, AND TILE PRODUCTS"
140,"BROOM, BRUSH, AND MOP MANUFACTURING MACHINERY AND SUPPLIES"
145,BRUSHES (SEE CLASS 485 FOR JANITORIAL TYPE)
150,BUILDER'S SUPPLIES
155,BUILDINGS AND STRUCTURES: FABRICATED AND PREFABRICATED
160,BUTCHER SHOP AND MEAT PROCESSING EQUIPMENT
165,"CAFETERIA AND KITCHEN EQUIPMENT, COMMERCIAL"
175,CHEMICAL LABORATORY EQUIPMENT AND SUPPLIES
180,CHEMICAL RAW MATERIALS (IN LARGE QUANTITIES PRIMARILY FOR MANUFACTURING JANITORIAL AND LAUNDRY PRODUCTS)
190,"CHEMICALS AND SOLVENTS, COMMERCIAL (IN BULK)"
192,"CLEANING COMPOSITIONS, DETERGENTS, SOLVENTS, AND STRIPPERS - PREPACKAGED"
193,"CLINICAL LABORATORY REAGENTS AND TESTS (BLOOD GROUPING, DIAGNOSTIC, DRUG MONITORING, ETC.)"
195,"CLOCKS, WATCHES, TIMEPIECES, JEWELRY AND PRECIOUS STONES"
200,"CLOTHING: ATHLETIC, CASUAL, DRESS, UNIFORM, WEATHER AND WORK RELATED"
201,CLOTHING ACCESSORIES (SEE CLASS 800 FOR SHOES AND BOOTS)
204,COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS
206,COMPUTER HARDWARE AND PERIPHERALS FOR MINI AND MAIN FRAME COMPUTERS
207,COMPUTER ACCESSORIES AND SUPPLIES
208,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED)
209,COMPUTER SOFTWARE FOR MINI AND MAINFRAME COMPUTERS (PREPROGRAMMED)
210,"CONCRETE AND METAL PRODUCTS, CULVERTS, PILINGS, SEPTIC TANKS, ACCESSORIES AND SUPPLIES"
220,"CONTROLLING, INDICATING, MEASURING, MONITORING, AND RECORDING INSTRUMENTS AND SUPPLIES"
225,"COOLERS, DRINKING WATER (WATER FOUNTAINS)"
232,"CRAFTS, GENERAL"
233,"CRAFTS, SPECIALIZED"
240,"CUTLERY, COOKWARE, DISHES, GLASSWARE, SILVERWARE, UTENSILS, AND SUPPLIES"
245,DAIRY EQUIPMENT AND SUPPLIES
250,DATA PROCESSING CARDS AND PAPER
255,DECALS AND STAMPS
257,"DEFENSE SYSTEM AND HOMELAND SECURITY EQUIPMENT, WEAPONS AND ACCESSORIES"
260,DENTAL EQUIPMENT AND SUPPLIES
265,"DRAPERIES, CURTAINS, AND UPHOLSTERY MATERIAL (INCLUDING AUTOMOBILE UPHOLSTERY)"
269,DRUGS AND PHARMACEUTICALS
271,"DRUG AND FEEDING ADMINISTRATION, INFUSION, AND IRRIGATION EQUIPMENT AND SUPPLIES"
279,EIGHTEENTH (18TH) CENTURY REPRODUCTION GOODS
280,ELECTRICAL CABLES AND WIRES (NOT ELECTRONIC)
285,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE)
287,"ELECTRONIC EQUIPMENT, COMPONENTS, PARTS, AND ACCESSORIES (SEE CLASS 730 FOR TESTING OR ANALYZING TYPE)"
290,ENERGY COLLECTING EQUIPMENT AND ACCESSORIES: SOLAR AND WIND
295,"ELEVATORS, ESCALATORS, AND MOVING WALKS (BUILDING TYPE)"
305,"ENGINEERING AND ARCHITECTURAL EQUIPMENT, SURVEYING EQUIPMENT, DRAWING INSTRUMENTS, AND SUPPLIES"
310,"ENVELOPES, PLAIN (SEE CLASSES 525, 615, 640, 655, 665, AND 966 FOR OTHER TYPES)"
312,ENVIRONMENTAL PROTECTIVE EQUIPMENT (INSIDE AND OUTSIDE)
315,"EPOXY BASED FORMULATIONS FOR ADHESIVES, COATINGS, AND RELATED AGENTS"
318,FARE COLLECTION EQUIPMENT AND SUPPLIES
320,"FASTENERS: BOLTS, NUTS, PINS, RIVETS, SCREWS, ETC. (INCL. PACKAGING, STRAPPING AND TYING EQUIPMENT AND SUPPLIES)"
325,"FEED, BEDDING, VITAMINS AND SUPPLEMENTS FOR ANIMALS (SEE CLASS 875 FOR DRUGS AND PHARMACEUTICALS FOR ANIMALS)"
330,FENCING
335,FERTILIZERS AND SOIL CONDITIONERS
340,FIRE PROTECTION EQUIPMENT AND SUPPLIES
345,FIRST AID AND SAFETY EQUIPMENT AND SUPPLIES (EXCEPT NUCLEAR AND WELDING)
350,"FLAGS, FLAG POLES, BANNERS, AND ACCESSORIES"
360,"FLOOR COVERING, FLOOR COVERING INSTALLATION AND REMOVAL EQUIPMENT, AND SUPPLIES"
365,"FLOOR MAINTENANCE MACHINES, PARTS, AND ACCESSORIES"
370,FOOD PROCESSING AND CANNING EQUIPMENT AND SUPPLIES
375,FOODS: BAKERY PRODUCTS (FRESH)
380,FOODS: DAIRY PRODUCTS (FRESH)
385,"FOODS, FROZEN"
390,FOODS: PERISHABLE
393,FOODS: STAPLE GROCERY AND GROCER'S MISCELLANEOUS ITEMS
395,"FORMS, CONTINUOUS: COMPUTER PAPER, FORM LABELS, SNAP-OUT FORMS, AND FOLDERS FOR FORMS"
400,"FOUNDRY CASTINGS, EQUIPMENT, AND SUPPLIES"
405,"FUEL, OIL, GREASE AND LUBRICANTS"
410,"FURNITURE: HEALTH CARE, HOSPITAL AND/OR DOCTOR'S OFFICE"
415,FURNITURE: LABORATORY
420,"FURNITURE: CAFETERIA, CHAPEL, DORMITORY, HOUSEHOLD, LIBRARY, LOUNGE, SCHOOL"
425,FURNITURE: OFFICE
430,"GASES, CONTAINERS, EQUIPMENT: LABORATORY, MEDICAL, AND WELDING"
435,"GERMICIDES, CLEANERS, AND RELATED SANITATION PRODUCTS FOR HEALTH CARE PERSONNEL"
440,GLASS AND GLAZING SUPPLIES
445,"HAND TOOLS (POWERED AND NON-POWERED), ACCESSORIES AND SUPPLIES"
450,HARDWARE AND RELATED ITEMS
460,"HOSE, ACCESSORIES, AND SUPPLIES: INDUSTRIAL, COMMERCIAL, AND GARDEN"
465,"HOSPITAL AND SURGICAL EQUIPMENT, INSTRUMENTS, AND SUPPLIES"
470,"HOSPITAL, NURSING HOME OR RESIDENTIAL SPECIALIZED EQUIPMENT FOR THE HANDICAPPED AND DISABLED"
475,"HOSPITAL, SURGICAL, AND MEDICAL RELATED ACCESSORIES AND SUNDRY ITEMS"
485,"JANITORIAL SUPPLIES, GENERAL LINE"
490,"LABORATORY EQUIPMENT, ACCESSORIES AND SUPPLIES: GENERAL ANALYTICAL AND RESEARCH FOR NUCLEAR, OPTICAL, AND PHYSICAL"
493,"LABORATORY EQUIPMENT, ACCESSORIES, AND SUPPLIES: BIOCHEMISTRY, CHEMISTRY, ENVIRONMENTAL SCIENCE, ETC."
495,"LABORATORY AND FIELD EQUIPMENT AND SUPPLIES: BIOLOGY, BOTANY, GEOLOGY, MICROBIOLOGY, ZOOLOGY, ETC."
500,"LAUNDRY AND DRY CLEANING EQUIPMENT, ACCESSORIES AND SUPPLIES, COMMERCIAL"
505,"LAUNDRY AND DRY CLEANING COMPOUNDS, DETERGENTS, AND SUPPLIES"
510,LAUNDRY TEXTILES AND SUPPLIES
515,LAWN MAINTENANCE EQUIPMENT AND ACCESSORIES (SEE CLASS 020 FOR AGRICULTURAL TYPES)
520,"LEATHER AND SHOE ACCESSORIES, EQUIPMENT, AND SUPPLIES"
525,"LIBRARY AND ARCHIVAL EQUIPMENT, MACHINES, AND SUPPLIES"
530,"LUGGAGE, BRIEF CASES, PURSES AND RELATED ITEMS"
540,"LUMBER, SIDING, AND RELATED PRODUCTS"
545,"MACHINERY AND HARDWARE, INDUSTRIAL"
550,"MARKERS, PLAQUES AND TRAFFIC CONTROL DEVICES"
553,MANUFACTURING COMPONENTS AND SUPPLIES
555,"METAL, PAPER, AND PLASTIC STENCILS AND STENCILING DEVICES"
556,MASS TRANSPORTATION - TRANSIT BUS
557,MASS TRANSPORTATION - TRANSIT BUS ACCESSORIES AND PARTS
558,MASS TRANSPORTATION - RAIL VEHICLES AND SYSTEMS
559,MASS TRANSPORTATION - RAIL VEHICLE PARTS AND ACCESSORIES
560,"MATERIAL HANDLING, CONVEYORS, STORAGE EQUIPMENT AND ACCESSORIES"
565,MATTRESS AND PILLOW MANUFACTURING MACHINERY AND SUPPLIES
570,"METALS: BARS, PLATES, RODS, SHEETS, STRIPS, STRUCTURAL SHAPES, TUBING, AND FABRICATED ITEMS"
575,"MICROFICHE AND MICROFILM EQUIPMENT, ACCESSORIES, AND SUPPLIES"
578,MISCELLANEOUS PRODUCTS (NOT OTHERWISE CLASSIFIED)
580,"MUSICAL INSTRUMENTS, ACCESSORIES, AND SUPPLIES"
590,NOTIONS AND RELATED SEWING ACCESSORIES AND SUPPLIES
593,"NUCLEAR EQUIPMENT COMPONENTS, ACCESSORIES AND SUPPLIES"
595,"NURSERY (PLANTS) STOCK, EQUIPMENT, AND SUPPLIES"
600,"OFFICE MACHINES, EQUIPMENT, AND ACCESSORIES"
605,"OFFICE MECHANICAL AIDS, SMALL MACHINES, AND APPARATUSES"
610,"OFFICE SUPPLIES: CARBON PAPER AND RIBBONS, ALL TYPES"
615,"OFFICE SUPPLIES, GENERAL"
620,"OFFICE SUPPLIES: ERASERS, INKS, LEADS, PENS, PENCILS, ETC."
625,"OPTICAL EQUIPMENT, ACCESSORIES, AND SUPPLIES"
630,"PAINT, PROTECTIVE COATINGS, VARNISH, WALLPAPER, AND RELATED PRODUCTS"
635,PAINTING EQUIPMENT AND ACCESSORIES
640,"PAPER AND PLASTIC PRODUCTS, DISPOSABLE"
645,"PAPER, FOR OFFICE AND PRINT SHOP USE"
650,"PARK, PLAYGROUND, RECREATIONAL AREA AND SWIMMING POOL EQUIPMENT AND SUPPLIES"
652,PERSONAL HYGIENE AND GROOMING EQUIPMENT AND SUPPLIES
655,"PHOTOGRAPHIC EQUIPMENT, FILM, AND SUPPLIES (NOT GRAPHIC ARTS, MICROFILM, AND X-RAY)"
658,"PIPE, TUBING, AND ACCESSORIES (NOT FITTINGS)"
659,PIPE AND TUBING FITTINGS
660,"PIPES, TOBACCOS, SMOKING ACCESSORIES; ALCOHOLIC BEVERAGES"
665,"PLASTICS, RESINS, FIBERGLASS: CONSTRUCTION, FORMING, LAMINATING, AND MOLDING EQUIPMENT, ACCESSORIES, AND SUPPLIES"
670,"PLUMBING EQUIPMENT, FIXTURES, AND SUPPLIES"
675,PESTICIDES AND CHEMICALS: AGRICULTURAL AND INDUSTRIAL
680,POLICE AND PRISON EQUIPMENT AND SUPPLIES
685,POULTRY EQUIPMENT AND SUPPLIES
690,"POWER GENERATION EQUIPMENT, ACCESSORIES, AND SUPPLIES"
691,"POWER TRANSMISSION EQUIPMENT (ELECTRICAL, MECHANICAL, AIR AND HYDRAULIC)"
700,PRINTING PLANT EQUIPMENT AND SUPPLIES (EXCEPT PAPER)
710,"PROSTHETIC DEVICES, HEARING AIDS, AUDITORY TESTING EQUIPMENT, ELECTRONIC READING DEVICES, ETC."
715,"PUBLICATIONS, AUDIOVISUAL MATERIALS, BOOKS, TEXTBOOKS  (PREPARED MATERIALS ONLY)"
720,PUMPING EQUIPMENT AND ACCESSORIES
726,"RADIO COMMUNICATION EQUIPMENT, ACCESSORIES AND SUPPLIES"
730,"RADIO COMMUNICATION AND TELECOMMUNICATION TESTING, MEASURING, AND ANALYZING EQUIPMENT, ACCESSORIES AND SUPPLIES"
735,"RAGS, SHOP TOWELS, AND WIPING CLOTHS"
740,REFRIGERATION EQUIPMENT AND ACCESSORIES
745,ROAD AND HIGHWAY BUILDING MATERIALS (ASPHALTIC)
750,ROAD AND HIGHWAY BUILDING MATERIALS (NOT ASPHALTIC)
755,ROAD AND HIGHWAY ASPHALT AND CONCRETE HANDLING AND PROCESSING EQUIPMENT
760,"ROAD AND HIGHWAY EQUIPMENT: EARTH HANDLING, GRADING, MOVING, PACKING, ETC."
765,ROAD AND HIGHWAY EQUIPMENT (EXCEPT EQUIPMENT IN CLASSES 755 AND 760)
770,ROOFING MATERIALS AND SUPPLIES
775,SALT (SODIUM CHLORIDE) (SEE CLASS 393 FOR TABLE SALT)
780,SCALES AND WEIGHING APPARATUS (SEE 175-08 FOR LABORATORY BALANCES)
785,"SCHOOL EQUIPMENT, TEACHING AIDS, AND SUPPLIES"
790,"SEED, SOD, SOIL, AND INOCULANTS"
795,SEWING AND TEXTILE MACHINERY AND ACCESSORIES
800,SHOES AND BOOTS
801,"SIGNS, SIGN MATERIALS, SIGN MAKING EQUIPMENT, AND RELATED SUPPLIES"
803,"SOUND SYSTEMS, COMPONENTS, AND ACCESSORIES: GROUP INTERCOM, MUSIC, PUBLIC ADDRESS, ETC."
804,"SPACECRAFTS, ACCESSORIES AND COMPONENTS"
805,"SPORTING GOODS, ATHLETIC EQUIPMENT AND ATHLETIC FACILITY EQUIPMENT"
810,"SPRAYING EQUIPMENT (EXCEPT HOUSEHOLD, NURSERY PLANT, AND PAINT)"
815,"STEAM AND HOT WATER FITTINGS, ACCESSORIES, AND SUPPLIES"
820,STEAM AND HOT WATER BOILERS AND STEAM HEATING EQUIPMENT
825,STOCKMAN EQUIPMENT AND SUPPLIES
830,"TANKS (METAL, PLASTIC, WOOD, AND SYNTHETIC MATERIALS): MOBILE, PORTABLE, STATIONARY, AND UNDERGROUND TYPES"
832,"TAPE (NOT DATA PROCESSING, MEASURING, OPTICAL, SEWING, SOUND, OR VIDEO)"
838,"TELECOMMUNICATION EQUIPMENT, ACCESSORIES AND SUPPLIES"
839,"TELEPHONE EQUIPMENT, ACCESSORIES AND SUPPLIES"
840,TELEVISION EQUIPMENT AND ACCESSORIES
845,TESTING APPARATUS AND INSTRUMENTS (NOT FOR ELECTRICAL OR ELECTRONIC MEASUREMENTS)
850,"TEXTILES, FIBERS, HOUSEHOLD LINENS, AND PIECE GOODS"
855,THEATRICAL EQUIPMENT AND SUPPLIES
860,"TICKETS, COUPON BOOKS, SALES BOOKS, STRIP BOOKS, ETC."
863,TIRES AND TUBES (INCL. RECAPPED/RETREADED TIRES)
864,"TRAIN CONTROLS, ELECTRONIC"
865,TWINE AND STRING
870,"VENETIAN BLINDS, AWNINGS, AND SHADES"
875,VETERINARY EQUIPMENT AND SUPPLIES (SEE CLASS 325 FOR VITAMINS AND SUPPLEMENTS FOR ANIMALS)
880,VISUAL EDUCATION EQUIPMENT AND SUPPLIES (EXCEPT PROJECTION LAMPS -SEE CLASS 285)
883,VOICE RESPONSE SYSTEMS
885,WATER AND WASTEWATER TREATING CHEMICALS
890,"WATER SUPPLY, GROUNDWATER, SEWAGE TREATMENT, AND RELATED EQUIPMENT (NOT FOR AIR CONDITIONING, STEAM BOILER, OR LABORATORY REAGENT WATER)"
895,WELDING EQUIPMENT AND SUPPLIES
898,X-RAY AND OTHER RADIOLOGICAL EQUIPMENT AND SUPPLIES (MEDICAL)
905,AIRCRAFT AND AIRPORT OPERATIONS SERVICES
906,"ARCHITECTURAL SERVICES, PROFESSIONAL"
907,"ARCHITECTURAL AND ENGINEERING SERVICES, NON-PROFESSIONAL"
908,BOOKBINDING AND REPAIRING SERVICES
909,"BUILDING CONSTRUCTION SERVICES, NEW  (INCL. MAINTENANCE AND REPAIR SERVICES)"
910,"BUILDING MAINTENANCE, INSTALLATION AND REPAIR SERVICES"
912,"CONSTRUCTION SERVICES, GENERAL (INCL. MAINTENANCE AND REPAIR SERVICES)"
913,"CONSTRUCTION SERVICES, HEAVY  (INCL. MAINTENANCE AND REPAIR SERVICES)"
914,"CONSTRUCTION SERVICES, TRADE (NEW CONSTRUCTION)"
915,COMMUNICATIONS AND MEDIA RELATED SERVICES
918,CONSULTING SERVICES
920,"DATA PROCESSING, COMPUTER, PROGRAMMING, AND SOFTWARE SERVICES"
924,EDUCATIONAL/TRAINING SERVICES
925,"ENGINEERING SERVICES, PROFESSIONAL"
926,ENVIRONMENTAL AND ECOLOGICAL SERVICES
928,"EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR AUTOMOBILES, TRUCKS, TRAILERS, TRANSIT BUSES AND OTHER VEHICLES"
929,"EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR AGRICULTURAL, CONSTRUCTION, HEAVY INDUSTRIAL, MATERIAL HANDLING, AND ROAD AND HIGHWAY EQUIPMENT"
931,"EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR APPLIANCE, ATHLETIC, CAFETERIA, FURNITURE, MUSICAL INSTRUMENTS, AND SEWING EQUIPMENT"
934,"EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR LAUNDRY, LAWN, PAINTING, PLUMBING, AND SPRAYING EQUIPMENT"
936,EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR GENERAL EQUIPMENT
938,"EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR HOSPITAL, LABORATORY, AND TESTING EQUIPMENT"
939,"EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR COMPUTERS, OFFICE, PHOTOGRAPHIC, AND RADIO/TELEVISION EQUIPMENT"
940,"EQUIPMENT MAINTENANCE, REPAIR, CONSTRUCTION, AND RELATED SERVICES FOR RAILROADS"
941,"EQUIPMENT MAINT, REPAIR, AND RELATED SERVICES FOR POWER GENERATION AND TRANSMISSION EQUIP."
944,"FARMING AND RANCHING SERVICES, ANIMAL AND CROP"
945,"FISHING, HUNTING, TRAPPING, GAME PROPAGATION, AND RELATED SERVICES"
946,FINANCIAL SERVICES
947,FORESTRY SERVICES
948,HEALTH RELATED SERVICES (FOR HUMAN SERVICES SEE CLASS 952)
952,HUMAN SERVICES
953,"INSURANCE AND INSURANCE SERVICES, (ALL TYPES)"
954,LAUNDRY AND DRY CLEANING SERVICES
956,"LIBRARY AND SUBSCRIPTION SERVICES (INCLUDES RESEARCH SERVICES, INTERNET AND PERIODICAL SUBSCRIPTIONS)"
958,MANAGEMENT SERVICES
959,MARINE CONSTRUCTION AND RELATED SERVICES; MARINE EQUIPMENT MAINTENANCE AND REPAIR
961,"MISCELLANEOUS SERVICES, NO. 1 (NOT OTHERWISE CLASSIFIED)"
962,"MISCELLANEOUS SERVICES, NO. 2 (NOT OTHERWISE CLASSIFIED)"
963,NON-BIDDABLE MISCELLANEOUS ITEMS
965,"PRINTING PREPARATIONS: ETCHING, PHOTOENGRAVING, AND PREPARATION OF MATS, NEGATIVES AND PLATES"
966,PRINTING AND TYPESETTING SERVICES
967,PRODUCTION AND MANUFACTURING SERVICES
968,PUBLIC WORKS AND RELATED SERVICES
971,REAL PROPERTY RENTAL OR LEASE
975,"RENTAL OR LEASE SERVICES OF AGRICULTURAL, AIRCRAFT, AIRPORT, AUTOMOTIVE, MARINE, AND HEAVY EQUIPMENT"
977,"RENTAL OR LEASE SERVICES OF APPLIANCES, CAFETERIA, FILM, FURNITURE, HARDWARE, MUSICAL, SEWING, AND WINDOW AND FLOOR COVERINGS"
979,"RENTAL OR LEASE SERVICES OF ENGINEERING, HOSPITAL, LABORATORY, PRECISION INSTRUMENTS, REFRIGERATION, SCALES, AND TESTING EQUIPMENT"
981,"RENTAL OR LEASE OF GENERAL EQUIPMENT (HVAC, ATHLETIC, FIRE AND POLICE PROTECTION, ETC.)"
983,"RENTAL OR LEASE SERVICES OF CLOTHING, JANITORIAL, LAUNDRY, LAWN, PAINTING, SPRAYING, LABORATORY AND TEXTILE EQUIPMENT"
984,"RENTAL OR LEASE SERVICES OF COMPUTERS, DATA PROCESSING, AND WORD PROCESSING EQUIPMENT"
985,"RENTAL OR LEASE SERVICES OF OFFICE, PHOTOGRAPHIC, PRINTING, RADIO/TELEVISION/TELEPHONE EQUIPMENT"
988,"ROADSIDE, GROUNDS, RECREATIONAL AND PARK AREA SERVICES"
989,SAMPLING AND SAMPLE PREPARATION SERVICES (FOR TESTING)
990,"SECURITY, FIRE, SAFETY, AND EMERGENCY SERVICES (INCLUDING DISASTER DOCUMENT RECOVERY)"
992,TESTING AND CALIBRATION SERVICES
998,SALE OF SURPLUS AND OBSOLETE ITEMS
